ISRCTN,Basic results,Peer-reviewed publications,Overall trial start,Overall trial end,Record last updated,Overall trial status,Recruitment status,EudraCT number,ClinicalTrials.gov number
ISRCTN07752728,,2004 Protocol article in http://www.ncbi.nlm.nih.gov/pubmed/15117415 protocol for open-label pragmatic randomised control trial 2007 Protocol article in http://www.ncbi.nlm.nih.gov/pubmed/17210080 protocol for pilot study of randomised controlled trial 2009 Results article in http://www.ncbi.nlm.nih.gov/pubmed/19196468 results,01/03/2002,01/03/2005,05/01/2011,Completed,No longer recruiting,,
ISRCTN25142273,,2002 Results article in http://www.ncbi.nlm.nih.gov/pubmed/12033987 results,01/11/1999,01/06/2000,15/11/2013,Completed,No longer recruiting,,
ISRCTN28863830,,2002 Results article in http://www.ncbi.nlm.nih.gov/pubmed/12225613 Results,01/01/2000,01/01/2001,07/03/2008,Completed,No longer recruiting,,
ISRCTN29863938,,2004 Results article in https://pubmed.ncbi.nlm.nih.gov/15231557 Results,01/01/2002,31/12/2002,02/10/2007,Completed,No longer recruiting,,
ISRCTN95530505,,2011 Results article in http://www.ncbi.nlm.nih.gov/pubmed/21353585 results,01/12/2001,01/12/2004,07/06/2011,Completed,No longer recruiting,,
ISRCTN36253388,,2002 Results article in http://www.ncbi.nlm.nih.gov/pubmed/12133187 Results,01/05/1997,01/04/1999,19/02/2008,Completed,No longer recruiting,,
ISRCTN87597684,,2002 Results article in https://pubmed.ncbi.nlm.nih.gov/11960557 Results,01/01/2000,01/01/2001,06/09/2007,Completed,No longer recruiting,,
ISRCTN85520592,,2007 Results article in https://pubmed.ncbi.nlm.nih.gov/17606839 Results,01/02/2003,01/09/2005,04/07/2007,Completed,No longer recruiting,,
ISRCTN43153145,,2006 Results article in https://www.ncbi.nlm.nih.gov/pubmed/16545140 Results,01/02/1997,28/02/1998,04/10/2017,Completed,No longer recruiting,,
ISRCTN65375365,,2005 Results article in http://www.ncbi.nlm.nih.gov/pubmed/15733716 results 2005 Results article in http://www.ncbi.nlm.nih.gov/pubmed/15733717 results 2006 Results article in http://www.ncbi.nlm.nih.gov/pubmed/16409880 results,01/02/1999,31/12/2004,09/07/2014,Completed,No longer recruiting,,
ISRCTN21821912,,,01/01/2002,31/12/2002,14/03/2017,Completed,No longer recruiting,,
ISRCTN41186152,,2001 Results article in http://www.ncbi.nlm.nih.gov/pubmed/11468204 results,01/01/2001,31/12/2001,06/01/2011,Completed,No longer recruiting,,
ISRCTN44153243,,2002 Protocol article in https://www.ncbi.nlm.nih.gov/pubmed/12383353 protocol 2003 Results article in https://www.ncbi.nlm.nih.gov/pubmed/14512476 results (added 21/05/2019),01/01/2003,01/01/2004,21/05/2019,Completed,No longer recruiting,,
ISRCTN58485613,,2006 Results article in https://pubmed.ncbi.nlm.nih.gov/16793810 Results,01/07/2000,01/07/2002,06/09/2007,Completed,No longer recruiting,,
ISRCTN10820810,,2002 Results article in http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=pubmed&dopt=Abstract&list_uids=11825344 Results,01/01/2000,01/01/2001,06/09/2007,Completed,No longer recruiting,,
ISRCTN85429598,,2002 Results article in https://pubmed.ncbi.nlm.nih.gov/11879528 Results,01/02/2001,01/05/2001,06/09/2007,Completed,No longer recruiting,,
ISRCTN44366049,,,01/01/2002,31/12/2002,18/10/2016,Completed,No longer recruiting,,
ISRCTN47364493,,2002 Results article in https://pubmed.ncbi.nlm.nih.gov/11983043 Results,01/01/2000,01/01/2001,06/09/2007,Completed,No longer recruiting,,
ISRCTN98608690,,2002 Protocol article in https://pubmed.ncbi.nlm.nih.gov/11918829 Protocol 2003 Results article in https://pubmed.ncbi.nlm.nih.gov/12657165 Results,01/12/2000,31/12/2001,06/09/2007,Completed,No longer recruiting,,
ISRCTN32042030,,2002 Protocol article in http://www.ncbi.nlm.nih.gov/pubmed/11914161 protocol 2010 Results article in http://www.ncbi.nlm.nih.gov/pubmed/20009095 results,01/01/2001,31/01/2003,13/04/2010,Completed,No longer recruiting,,
ISRCTN18853827,,2001 Protocol article in http://www.ncbi.nlm.nih.gov/pubmed/11801195 protocol,01/01/2002,01/01/2003,11/09/2008,Completed,No longer recruiting,,
ISRCTN89801482,,2007 Results article in http://www.ncbi.nlm.nih.gov/pubmed/17621203 results,01/09/2001,30/06/2005,10/05/2011,Completed,No longer recruiting,,
ISRCTN93206785,,2009 Results article in http://www.ncbi.nlm.nih.gov/pubmed/19690345 main results 2009 Results article in http://www.ncbi.nlm.nih.gov/pubmed/19690341 results of economic evaluation,01/07/2002,30/06/2006,25/08/2009,Completed,No longer recruiting,,
ISRCTN69908361,,2010 Results article in http://www.ncbi.nlm.nih.gov/pubmed/19825849 results,01/06/2003,01/06/2006,23/08/2011,Completed,No longer recruiting,,
ISRCTN12989577,,2010 Results article in http://www.ncbi.nlm.nih.gov/pubmed/19580457 results,01/12/2001,31/12/2010,12/07/2010,Completed,No longer recruiting,,
ISRCTN30771772,,,01/02/2001,30/08/2006,19/05/2014,Stopped,Stopped,,
ISRCTN57984704,,2002 Protocol article in http://www.ncbi.nlm.nih.gov/pubmed/12209028 protocol 2007 Results article in http://www.ncbi.nlm.nih.gov/pubmed/17968938 results,01/12/2000,30/11/2006,25/11/2010,Completed,No longer recruiting,,
ISRCTN81818945,,2014 Results article in http://www.ncbi.nlm.nih.gov/pubmed/24097288 results,01/09/2000,01/01/2006,08/10/2013,Completed,No longer recruiting,,
ISRCTN40085050,,2015 Results article in https://pubmed.ncbi.nlm.nih.gov/25433040/ results (added 07/01/2021),10/03/2003,30/03/2005,07/01/2021,Completed,No longer recruiting,,
ISRCTN54376151,,2003 Other publications in http://www.ncbi.nlm.nih.gov/pubmed/12810935 current concepts and new developments 2012 Results article in http://www.ncbi.nlm.nih.gov/pubmed/22344575 results,30/04/2002,31/10/2008,23/02/2012,Completed,No longer recruiting,,
ISRCTN76376467,,2010 Results article in http://www.ncbi.nlm.nih.gov/pubmed/19580461 results,31/07/2001,31/12/2007,03/11/2011,Completed,No longer recruiting,,
ISRCTN69596728,,2004 Results article in https://pubmed.ncbi.nlm.nih.gov/15082472 Results,01/01/1999,01/01/2001,10/09/2007,Completed,No longer recruiting,,
ISRCTN99609795,,2005 Abstract results in http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=pubmed&dopt=Abstract&list_uids=15975140,01/04/2001,01/06/2001,06/09/2007,Completed,No longer recruiting,,
ISRCTN28863939,,2006 Results article in https://pubmed.ncbi.nlm.nih.gov/16949486 Results,01/01/1997,01/01/2001,10/09/2007,Completed,No longer recruiting,,
ISRCTN98608799,,1999 Protocol article in http://www.ncbi.nlm.nih.gov/pubmed/11220545 protocol/initial results 2009 Results article in http://www.ncbi.nlm.nih.gov/pubmed/19124530 results,01/10/1998,01/10/1999,16/02/2009,Completed,No longer recruiting,,
ISRCTN66587262,,2008 Results article in http://www.ncbi.nlm.nih.gov/pubmed/18762476 results 2010 Results article in http://www.ncbi.nlm.nih.gov/pubmed/20197530 results 2011 Results article in http://www.ncbi.nlm.nih.gov/pubmed/21223551 results,01/04/1998,31/12/2009,17/02/2015,Completed,No longer recruiting,,
ISRCTN39974945,,2002 Results article in https://pubmed.ncbi.nlm.nih.gov/11846888 Results,01/10/1995,01/02/1997,06/09/2007,Completed,No longer recruiting,,
ISRCTN70707830,,2002 Results article in https://pubmed.ncbi.nlm.nih.gov/11860612 Results,01/01/2000,01/01/2001,06/09/2007,Completed,No longer recruiting,,
ISRCTN54264250,,2002 Other publications in http://www.ncbi.nlm.nih.gov/pubmed/11835692 publication on design and performance of the trial 2002 Protocol article in http://www.ncbi.nlm.nih.gov/pubmed/11835692 protocol 2002 Results article in http://www.ncbi.nlm.nih.gov/pubmed/12076550 main results 2003 Results article in http://www.ncbi.nlm.nih.gov/pubmed/12855528 results 2004 Other publications in http://www.ncbi.nlm.nih.gov/pubmed/15546515 HTA monograph,01/06/1998,31/10/2001,25/08/2009,Completed,No longer recruiting,,
ISRCTN21921919,,2002 Results article in https://pubmed.ncbi.nlm.nih.gov/11846892 Results,01/01/1999,01/01/2001,07/09/2007,Completed,No longer recruiting,,
ISRCTN32032031,,2001 Results article in https://pubmed.ncbi.nlm.nih.gov/11782286 Results,01/04/2000,30/04/2000,07/09/2007,Completed,No longer recruiting,,
ISRCTN92215924,,2006 Results article in http://www.ncbi.nlm.nih.gov/pubmed/16362803 results,01/01/2004,01/01/2005,20/10/2010,Completed,No longer recruiting,,
ISRCTN89811481,,1997 Protocol article in https://pubmed.ncbi.nlm.nih.gov/9391280/ Protocol of entire UKPACE study 2004 Results article in https://pubmed.ncbi.nlm.nih.gov/15580719/ Results,30/01/1997,30/01/1999,03/10/2007,Completed,No longer recruiting,,
ISRCTN14031168,,2001 Protocol article in http://www.ncbi.nlm.nih.gov/pubmed/11302283 main trial protocol 2006 Protocol article in http://www.ncbi.nlm.nih.gov/pubmed/17177983 sub-study protocol 2008 Results article in http://www.ncbi.nlm.nih.gov/pubmed/18378519 results 2010 Results article in http://www.ncbi.nlm.nih.gov/pubmed/20497949 results,01/01/2001,31/12/2009,14/11/2013,Completed,No longer recruiting,,NCT00122811
ISRCTN31931021,,2005 Results article in http://www.ncbi.nlm.nih.gov/pubmed/16382062 results 2009 Results article in http://www.ncbi.nlm.nih.gov/pubmed/19573727 results,01/12/1999,01/03/2004,15/07/2009,Stopped,Stopped,,
ISRCTN07752711,,2004 Results article in http://www.ncbi.nlm.nih.gov/pubmed/15351164 results of impact of gender 2005 Results article in http://www.ncbi.nlm.nih.gov/pubmed/15653019 one-year results 2005 Results article in http://www.ncbi.nlm.nih.gov/pubmed/16154018 five-year outcomes results 2006 Results article in http://www.ncbi.nlm.nih.gov/pubmed/16621882 patient management and disease events results 2008 Results article in http://www.ncbi.nlm.nih.gov/pubmed/18032459 cost effectiveness study results 2012 Other publications in http://www.ncbi.nlm.nih.gov/pubmed/22199015 collaborative analysis 2012 Other publications in http://www.ncbi.nlm.nih.gov/pubmed/21930723 collaborative analysis 2012 Other publications in http://www.ncbi.nlm.nih.gov/pubmed/22361604 collaborative analysis 2015 Results article in http://www.ncbi.nlm.nih.gov/pubmed/26227188 10-year results,12/11/1997,31/12/2006,03/08/2015,Completed,No longer recruiting,,
ISRCTN66375463,,2001 Results article in http://www.ncbi.nlm.nih.gov/pubmed/11716797 Results,01/07/2000,30/06/2001,07/03/2008,Completed,No longer recruiting,,
ISRCTN21931925,,2002 Results article in https://pubmed.ncbi.nlm.nih.gov/12225709/ Results,01/03/1997,01/06/1999,02/10/2007,Completed,No longer recruiting,,
ISRCTN36363490,,2005 Other publications in http://www.ncbi.nlm.nih.gov/pubmed/15809570 2006 Other publications in http://www.ncbi.nlm.nih.gov/pubmed/17028105,01/06/2002,31/12/2005,19/02/2008,Completed,No longer recruiting,,
ISRCTN77486578,,2007 Results article in http://www.ncbi.nlm.nih.gov/pubmed/17662798 results,01/03/2005,30/03/2007,24/07/2012,Completed,No longer recruiting,,
ISRCTN09719705,,2001 Protocol article in http://www.ncbi.nlm.nih.gov/pubmed/11716789 Study protocol,01/01/2001,31/12/2003,10/03/2008,Completed,No longer recruiting,,
ISRCTN66376460,,2005 Results article in http://www.ncbi.nlm.nih.gov/pubmed/16081445 results 2007 Results article in http://www.ncbi.nlm.nih.gov/pubmed/17474991 results 2010 Results article in http://www.ncbi.nlm.nih.gov/pubmed/20082054 results,01/08/2001,31/07/2004,07/04/2010,Completed,No longer recruiting,,
ISRCTN07742712,,2001 Results article in https://pubmed.ncbi.nlm.nih.gov/11722796 Results,01/01/2000,01/01/2001,24/09/2007,Completed,No longer recruiting,,
ISRCTN87597585,,2001 Results article in https://pubmed.ncbi.nlm.nih.gov/11686857 Results,01/01/2000,01/01/2001,07/09/2007,Completed,No longer recruiting,,
ISRCTN39268693,,2003 Results article in https://doi.org/10.1093/annonc/mdg067 results (added 25/01/2019),01/01/1996,01/06/2001,25/01/2019,Completed,No longer recruiting,,NCT00002576
ISRCTN43154562,,2009 Results article in http://www.ncbi.nlm.nih.gov/pubmed/19036078 results,01/01/1996,18/05/2001,04/01/2012,Completed,No longer recruiting,,
ISRCTN45115288,,1999 Results article in http://www.ncbi.nlm.nih.gov/pubmed/10604733 results,01/01/1994,31/03/1995,04/01/2012,Completed,No longer recruiting,,
ISRCTN52591297,,2006 Results article in http://www.ncbi.nlm.nih.gov/pubmed/16904312 results,01/10/1991,31/12/2001,04/01/2012,Completed,No longer recruiting,,
ISRCTN52711596,,,01/01/1990,28/02/1996,11/04/2019,Completed,No longer recruiting,,NCT00003209
ISRCTN55293778,,2013 Results article in http://www.ncbi.nlm.nih.gov/pubmed/24120480 results,01/11/2000,02/07/2004,29/10/2013,Completed,No longer recruiting,,NCT00006479
ISRCTN56319613,,1995 Other publications in http://www.ncbi.nlm.nih.gov/pubmed/7551939 interim analysis 1999 Results article in http://www.ncbi.nlm.nih.gov/pubmed/10506617 results,01/01/1990,01/01/1996,01/02/2012,Completed,No longer recruiting,,NCT00003240
ISRCTN57679341,,2008 Results article in http://www.ncbi.nlm.nih.gov/pubmed/18089850 Results,01/01/2002,31/12/2007,02/09/2008,Completed,No longer recruiting,,
ISRCTN63499520,,2001 Results article in http://www.ncbi.nlm.nih.gov/pubmed/11355937 Results,01/01/1990,01/04/1996,01/02/2012,Completed,No longer recruiting,,
ISRCTN65764657,,,01/01/1998,31/12/2000,23/02/2015,Completed,No longer recruiting,,
ISRCTN67769193,,2008 Results article in http://www.ncbi.nlm.nih.gov/pubmed/18308250 results,01/01/1995,31/03/1999,01/02/2012,Completed,No longer recruiting,,NCT00365755
ISRCTN72493595,,1997 Results article in http://www.ncbi.nlm.nih.gov/pubmed/9315064 results,01/01/1995,31/12/1997,13/06/2014,Completed,No longer recruiting,,
ISRCTN73797340,,1996 Results article in http://www.ncbi.nlm.nih.gov/pubmed/8774567 results,01/01/1997,31/12/2000,13/06/2014,Stopped,Stopped,,
ISRCTN75843298,,1996 Results article in https://www.ncbi.nlm.nih.gov/pubmed/8805927 Follow-up results,05/12/1989,13/04/1994,27/09/2017,Completed,No longer recruiting,,
ISRCTN78467637,,,01/01/1995,16/10/1996,21/11/2019,Completed,No longer recruiting,,
ISRCTN43589852,,,01/01/1994,19/09/1996,21/11/2019,Completed,No longer recruiting,,
ISRCTN45257322,,2004 Results article in https://www.ncbi.nlm.nih.gov/pubmed/15542159 results (added 25/01/2019),01/01/1996,31/12/2001,25/01/2019,Completed,No longer recruiting,,NCT00022204
ISRCTN47461840,,,01/01/2000,31/12/2000,23/02/2015,Completed,No longer recruiting,,
ISRCTN52689949,,1989 Protocol article in http://www.ncbi.nlm.nih.gov/pubmed/2613207 protocol 1992 Results article in https://www.ncbi.nlm.nih.gov/pubmed/1622642 10-year follow-up results,01/01/1994,22/03/1999,08/10/2018,Completed,No longer recruiting,,NCT00002460
ISRCTN55268387,,,01/01/1998,31/12/2004,17/02/2015,Completed,No longer recruiting,,
ISRCTN56416473,,"2004 Abstract results in https://doi.org/10.1111/j.0902-4441.2004.00311.x abstract A-E08, 39",01/01/1995,26/06/2001,17/02/2015,Completed,No longer recruiting,,NCT00002987
ISRCTN58831878,,2001 Results article in https://www.ncbi.nlm.nih.gov/pubmed/11387366 results (added 28/11/2019),01/01/1992,30/04/1997,28/11/2019,Completed,No longer recruiting,,
ISRCTN62526210,,,01/01/1990,31/12/1995,30/10/2019,Completed,No longer recruiting,,
ISRCTN64336220,,,01/01/1995,29/06/2001,15/11/2013,Stopped,Stopped,,
ISRCTN66284161,,,01/01/1989,01/01/1993,15/01/2019,Completed,No longer recruiting,,
ISRCTN67519330,,1996 Results article in http://www.ncbi.nlm.nih.gov/pubmed/8688343 results,01/01/1999,31/12/2000,02/02/2012,Completed,No longer recruiting,,
ISRCTN71212234,,,01/01/1989,01/10/1993,21/01/2019,Completed,No longer recruiting,,
ISRCTN73274643,,,01/01/1997,28/02/2000,23/02/2015,Completed,No longer recruiting,,
ISRCTN76694943,,2014 Results article in http://www.ncbi.nlm.nih.gov/pubmed/24823671 results,01/01/1998,31/12/2000,16/05/2014,Completed,No longer recruiting,,
ISRCTN78953383,,1992 Results article in http://www.ncbi.nlm.nih.gov/pubmed/1353804 results,01/01/1991,01/03/1991,02/02/2012,Completed,No longer recruiting,,
ISRCTN79217590,,,01/09/1993,31/12/2000,23/02/2015,Completed,No longer recruiting,,
ISRCTN79815499,,2000 Results article in http://www.ncbi.nlm.nih.gov/pubmed/11054434 results,01/01/1993,28/02/1997,01/02/2012,Completed,No longer recruiting,,
ISRCTN88345833,,2006 Results article in http://www.ncbi.nlm.nih.gov/pubmed/16337372 results,01/01/1993,15/07/1998,04/01/2012,Stopped,Stopped,,
ISRCTN92669260,,,01/01/2000,31/12/2005,24/02/2015,Completed,No longer recruiting,,
ISRCTN97767916,,,01/01/1999,31/12/2005,26/02/2015,Completed,No longer recruiting,,
ISRCTN98865222,,,01/01/2000,31/12/2003,26/02/2015,Completed,No longer recruiting,,
ISRCTN44218911,,2002 Results article in https://pubmed.ncbi.nlm.nih.gov/11755456/ Results,01/06/2000,01/06/2001,07/09/2007,Completed,No longer recruiting,,
ISRCTN81334858,,1996 Interim results article in http://www.ncbi.nlm.nih.gov/pubmed/8774567 interim results,01/01/1995,31/12/2000,18/09/2017,Stopped,Stopped,,
ISRCTN87675276,,,01/06/1998,31/12/2005,09/06/2017,Completed,No longer recruiting,,
ISRCTN89427989,,,01/01/1995,31/12/2005,27/02/2015,Completed,No longer recruiting,,
ISRCTN97144519,,2005 Results article in http://www.ncbi.nlm.nih.gov/pubmed/16314615 results 2010 Results article in http://www.ncbi.nlm.nih.gov/pubmed/20498402 results,01/01/1998,01/01/2002,12/04/2012,Completed,No longer recruiting,,NCT00003421
ISRCTN97375227,,2001 Results article in http://www.ncbi.nlm.nih.gov/pubmed/11343051 results,01/01/1991,31/12/1999,01/02/2012,Completed,No longer recruiting,,
ISRCTN98249374,,2010 Results article in http://www.ncbi.nlm.nih.gov/pubmed/20679620 results 2011 Results article in http://www.ncbi.nlm.nih.gov/pubmed/21444917 results 2011 Results article in http://www.ncbi.nlm.nih.gov/pubmed/21280197 results,01/04/2000,31/12/2006,19/10/2018,Completed,No longer recruiting,,NCT00006455
ISRCTN98387311,,2005 Results article in http://www.ncbi.nlm.nih.gov/pubmed/15714929 results,01/01/1998,31/12/2001,01/02/2012,Completed,No longer recruiting,,
ISRCTN15121868,,2010 Results article in https://www.ncbi.nlm.nih.gov/pubmed/20338746 results (added 21/01/2019),01/07/1995,31/12/2000,21/01/2019,Completed,No longer recruiting,,NCT00025441
ISRCTN17384971,,2000 Results article in http://www.ncbi.nlm.nih.gov/pubmed/11027423 results,01/03/1995,30/03/1997,01/02/2012,Completed,No longer recruiting,,
ISRCTN18595444,,,15/12/1996,31/12/2000,03/03/2015,Completed,No longer recruiting,,
ISRCTN22296481,,2007 Results article in http://www.ncbi.nlm.nih.gov/pubmed/17588698 results,19/02/1998,31/12/2002,25/04/2008,Completed,No longer recruiting,,NCT00006231
ISRCTN23196537,,1994 Results article in http://www.ncbi.nlm.nih.gov/pubmed/8083699 results,01/01/1988,01/09/1992,01/02/2012,Completed,No longer recruiting,,
ISRCTN26181691,,,01/01/1988,31/12/1992,15/01/2019,Completed,No longer recruiting,,
ISRCTN27785591,,2000 Results article in http://www.ncbi.nlm.nih.gov/pubmed/11061615 results,01/01/1990,28/02/1996,04/01/2012,Completed,No longer recruiting,,NCT00003209
ISRCTN29775286,,2003 Results article in http://www.ncbi.nlm.nih.gov/pubmed/12949718 results,01/01/1998,05/01/2002,04/01/2012,Completed,No longer recruiting,,
ISRCTN31374767,,2004 Results article in http://www.ncbi.nlm.nih.gov/pubmed/15547181 results,01/01/1997,01/05/2000,04/01/2012,Completed,No longer recruiting,,NCT00003998
ISRCTN37398231,,1997 Results article in http://www.ncbi.nlm.nih.gov/pubmed/8996151 results,01/01/1990,16/06/1995,04/01/2012,Completed,No longer recruiting,,
ISRCTN38657696,,1999 Results article in https://www.ncbi.nlm.nih.gov/pubmed/10506617 presumed results (added 30/10/2019),01/01/1995,01/01/1996,30/10/2019,Completed,No longer recruiting,,
ISRCTN17584197,,2007 Results article in https://www.ncbi.nlm.nih.gov/pubmed/17132719 results (added 25/01/2019),01/01/1997,15/06/2001,25/01/2019,Completed,No longer recruiting,,NCT00162656
ISRCTN18173987,,,01/01/1990,03/11/1992,15/01/2019,Completed,No longer recruiting,,
ISRCTN24219839,,1996 Results article in http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=pubmed&dopt=Abstract&list_uids=8688344 results,01/11/1987,31/10/1992,01/02/2012,Completed,No longer recruiting,,
ISRCTN25269369,,2000 Results article in http://www.ncbi.nlm.nih.gov/pubmed/10719694 results,01/01/1996,01/09/1998,01/02/2012,Completed,No longer recruiting,,
ISRCTN26689999,,2000 Results article in http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=pubmed&dopt=Abstract&list_uids=11061615 results,01/01/1988,31/12/1995,01/02/2012,Completed,No longer recruiting,,
ISRCTN29547753,,,01/01/1995,03/12/2000,10/03/2015,Completed,No longer recruiting,,
ISRCTN29941643,,,01/08/2003,01/08/2006,28/01/2019,Stopped,Stopped,,NCT00079248
ISRCTN37367725,,2004 Results article in https://www.ncbi.nlm.nih.gov/pubmed/15328187 patient stratification results 2007 Results article in https://www.ncbi.nlm.nih.gov/pubmed/17878477 follow-up results 2009 Results article in https://www.ncbi.nlm.nih.gov/pubmed/19328574 results for supratentorial primitive neuro-ectodermal tumours (SPNET) subset 2004 Results article in https://www.ncbi.nlm.nih.gov/pubmed/15001263 radiotherapy duration results (added 23/01/2019) 2003 Results article in https://www.ncbi.nlm.nih.gov/pubmed/12697884 results (added 23/01/2019),01/01/1998,28/01/2000,23/01/2019,Completed,No longer recruiting,,NCT00003859
ISRCTN38929731,,,01/01/1992,24/08/1997,10/03/2015,Completed,No longer recruiting,,
ISRCTN45938399,,2009 Results article in https://www.ncbi.nlm.nih.gov/pubmed/18992952 early results 2021 Results article in https://pubmed.ncbi.nlm.nih.gov/33689854/ 10-year results (added 11/03/2021),01/10/2000,31/12/2006,28/10/2021,Completed,No longer recruiting,,NCT00033436
ISRCTN49693355,,2005 Results article in http://www.ncbi.nlm.nih.gov/pubmed/16148284 results,03/08/1999,31/12/2003,28/10/2021,Completed,No longer recruiting,,NCT00005590
ISRCTN59589587,,1999 Results article in http://www.ncbi.nlm.nih.gov/pubmed/10472562 preliminary results 2003 Results article in http://www.ncbi.nlm.nih.gov/pubmed/12504050 results 2005 Results article in http://www.ncbi.nlm.nih.gov/pubmed/16137838 results 2008 Results article in http://www.ncbi.nlm.nih.gov/pubmed/18398583 results 2008 Results article in http://www.ncbi.nlm.nih.gov/pubmed/18802150 results,01/01/1994,30/06/1999,01/02/2012,Completed,No longer recruiting,,NCT00002516
ISRCTN67216192,,2006 Results article in https://www.ncbi.nlm.nih.gov/pubmed/16921033 6 results (added 25/01/2019),01/01/1989,31/01/2002,28/10/2021,Completed,No longer recruiting,,NCT00003364
ISRCTN68324339,,2012 Results article in http://www.ncbi.nlm.nih.gov/pubmed/22512481 results 2013 Results article in http://www.ncbi.nlm.nih.gov/pubmed/23958147 results 2015 Results article in http://www.ncbi.nlm.nih.gov/pubmed/25445550 results,03/08/2001,31/08/2011,17/10/2018,Completed,No longer recruiting,,NCT00024349
ISRCTN42625759,,2006 Results article in https://www.ncbi.nlm.nih.gov/pubmed/17079759 results 2008 Results article in https://www.ncbi.nlm.nih.gov/pubmed/18797468 results (added 25/01/2019),30/04/1996,31/07/2001,25/01/2019,Completed,No longer recruiting,,NCT00003577
ISRCTN51146252,,2008 Results article in http://www.ncbi.nlm.nih.gov/pubmed/18665163 safety substudy results 2017 Results article in http://www.ncbi.nlm.nih.gov/pubmed/28479233 results,22/08/2001,26/11/2004,17/10/2018,Completed,No longer recruiting,2004-002927-41,NCT00039546
ISRCTN55593137,,,01/01/1990,31/10/1996,21/11/2019,Completed,No longer recruiting,,
ISRCTN68177645,,,01/01/1997,31/12/1999,23/02/2015,Completed,No longer recruiting,,
ISRCTN75225940,,2011 Results article in http://www.ncbi.nlm.nih.gov/pubmed/21247627 results,01/12/2001,27/04/2018,29/04/2019,Completed,No longer recruiting,2004-002080-24,NCT00032136
ISRCTN84214355,,2006 Results article in https://www.ncbi.nlm.nih.gov/pubmed/16605056 results (added 25/01/2019),02/07/1998,25/03/2004,25/01/2019,Completed,No longer recruiting,,NCT00003893
ISRCTN97344827,,2010 Results article in https://doi.org/10.1111/j.1365-2141.2010.08081.x results (added 25/01/2019),01/01/1996,31/10/2001,25/01/2019,Completed,No longer recruiting,,NCT00003578
ISRCTN98278138,,2007 Results article in http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=pubmed&dopt=Abstract&list_uids=17652651 Results,30/04/2002,30/09/2004,11/08/2011,Completed,No longer recruiting,,NCT00031863
ISRCTN62207270,,2007 Results article in http://www.ncbi.nlm.nih.gov/pubmed/17315155 results,01/12/1998,01/11/2003,17/10/2018,Completed,No longer recruiting,,NCT00005823
ISRCTN79718493,,2009 Results article in http://www.ncbi.nlm.nih.gov/pubmed/19447249 results,20/05/2001,01/07/2003,17/10/2018,Completed,No longer recruiting,,NCT00033683
ISRCTN99513870,,2011 Results article in http://www.ncbi.nlm.nih.gov/pubmed/21145284 results,09/05/1990,30/08/1996,03/02/2011,Completed,No longer recruiting,,
ISRCTN58585610,,2007 Results article in http://www.ncbi.nlm.nih.gov/pubmed/17658394 results of assessment of fludarabine plus cyclophosphamide for patients with chronic lymphocytic leukaemia 2008 Results article in http://www.ncbi.nlm.nih.gov/pubmed/18006695 results on the scan of nonsynonymous SNPs in CLL4 trial patients for the identification of genetic variants influencing prognosis 2008 Results article in http://www.ncbi.nlm.nih.gov/pubmed/18055869 results on the prognostic significance of a positive direct antiglobulin test in chronic lymphocytic leukemia 2008 Results article in http://www.ncbi.nlm.nih.gov/pubmed/19016733 results on baseline health-related quality of life 2010 Results article in http://www.ncbi.nlm.nih.gov/pubmed/20511662 results of identification of prognostic makers 2010 Results article in http://www.ncbi.nlm.nih.gov/pubmed/20511662 results of relative importance of prognostic makers,01/02/1999,30/10/2004,17/10/2018,Completed,No longer recruiting,2004-000105-21,NCT00004218
ISRCTN17775670,,2018 Results article in https://www.ncbi.nlm.nih.gov/pubmed/29097444 results (added 28/01/2019),01/05/2000,31/05/2005,28/01/2019,Completed,No longer recruiting,,NCT00031850
ISRCTN25173819,,2007 Results article in https://www.ncbi.nlm.nih.gov/pubmed/17132719 results (added 25/01/2019),01/01/1998,15/06/2001,25/01/2019,Completed,No longer recruiting,,NCT00162656
ISRCTN16387614,,2011 Results article in http://dx.doi.org/10.1200/jco.2011.29.15_suppl.4505 results (added 28/01/2019),19/02/1999,31/10/2006,28/01/2019,Completed,No longer recruiting,2004-000857-50,NCT00053807
ISRCTN21587955,,2001 Results article in http://www.ncbi.nlm.nih.gov/pubmed/11716884 results,01/01/1995,20/04/2000,14/07/2014,Completed,No longer recruiting,,
ISRCTN22669537,,2008 Results article in http://www.ncbi.nlm.nih.gov/pubmed/18022173 results,01/12/1997,01/07/2005,18/10/2018,Completed,No longer recruiting,,
ISRCTN37494643,,2010 Results article in http://www.ncbi.nlm.nih.gov/pubmed/20823433 results 2012 Results article in http://www.ncbi.nlm.nih.gov/pubmed/22782416 results 2014 Results article in http://www.ncbi.nlm.nih.gov/pubmed/24301456 results 2014 Results article in http://www.ncbi.nlm.nih.gov/pubmed/24419109 results,03/07/2000,07/05/2008,28/10/2021,Completed,No longer recruiting,,NCT00058201
